,Year,value
0,1960,8.58 
1,1961,8.64 
2,1962,8.84 
3,1963,9.23 
4,1964,9.76 
5,1965,10.62 
6,1966,10.33 
7,1967,10.96 
8,1968,11.21 
9,1969,11.60 
10,1970,11.80 
11,1971,11.81 
12,1972,11.95 
13,1973,12.78 
14,1974,12.56 
15,1975,12.66 
16,1976,12.42 
17,1977,13.23 
18,1978,14.07 
19,1979,14.13 
20,1980,15.02 
21,1981,15.43 
22,1982,15.42 
23,1983,14.64 
24,1984,15.22 
25,1985,15.31 
26,1986,14.98 
27,1987,15.75 
28,1988,15.80 
29,1989,16.52 
30,1990,15.45 
31,1991,15.32 
32,1992,15.34 
33,1993,15.42 
34,1994,15.61 
35,1995,15.99 
36,1996,16.36 
37,1997,16.57 
38,1998,17.51 
39,1999,17.60 
40,2000,17.69 
41,2001,17.77 
42,2002,17.96 
43,2003,17.69 
44,2004,18.15 
45,2005,18.12 
46,2006,18.12 
47,2007,18.50 
48,2008,18.28 
49,2009,18.21 
50,2010,17.58 
51,2011,17.27 
52,2012,16.97 
53,2013,16.40 
54,2014,15.76 
55,2015,15.79 
56,2016,15.87 
57,2017,15.74 
58,2018,15.48 
