year-month,cumulative_installed_kw,installations_in_month
2001-04,422,13
2001-05,434,12
2001-06,467,19
2001-07,540,7
2001-08,557,10
2001-09,579,17
2001-10,596,10
2001-11,632,19
2001-12,654,13
2002-01,682,17
2002-02,709,19
2002-03,732,14
2002-04,750,15
2002-05,779,19
2002-06,795,16
2002-07,821,16
2002-08,849,19
2002-09,910,27
2002-10,941,21
2002-11,1231,37
2002-12,4274,34
2003-01,5394,45
2003-02,5504,34
2003-03,5565,44
2003-04,5592,16
2003-05,5612,15
2003-06,5676,46
2003-07,5771,63
2003-08,5881,83
2003-09,5979,69
2003-10,6109,85
2003-11,6238,92
2003-12,6342,74
2004-01,6399,44
2004-02,6507,92
2004-03,6604,68
2004-04,6724,75
2004-05,6837,84
2004-06,6939,85
2004-07,7031,89
2004-08,7152,102
2004-09,7239,85
2004-10,7390,137
2004-11,7521,120
2004-12,7656,108
2005-01,7794,99
2005-02,7914,118
2005-03,8027,110
2005-04,8633,141
2005-05,8799,137
2005-06,8934,95
2005-07,9088,106
2005-08,9245,107
2005-09,9374,97
2005-10,9559,115
2005-11,9763,142
2005-12,10219,142
2006-01,10317,59
2006-02,10396,57
2006-03,10555,91
2006-04,10971,80
2006-05,11122,97
2006-06,11260,88
2006-07,36948,81
2006-08,37084,86
2006-09,37222,89
2006-10,37414,124
2006-11,37652,138
2006-12,37870,130
2007-01,38033,106
2007-02,38214,118
2007-03,38441,154
2007-04,38649,134
2007-05,38819,122
2007-06,39120,196
2007-07,39573,282
2007-08,40137,363
2007-09,40811,422
2007-10,41726,543
2007-11,42569,522
2007-12,43558,524
2008-01,44443,528
2008-02,45392,645
2008-03,46365,684
2008-04,47704,875
2008-05,49197,1031
2008-06,50526,928
2008-07,52166,1147
2008-08,53781,1177
2008-09,55679,1329
2008-10,58179,1821
2008-11,60593,1769
2008-12,63602,2130
2009-01,66369,2170
2009-02,70156,2990
2009-03,74815,3573
2009-04,79316,3429
2009-05,84637,4082
2009-06,90449,4346
2009-07,96981,5169
2009-08,104352,5724
2009-09,112990,6268
2009-10,124696,7819
2009-11,137782,9280
2009-12,150029,8070
2010-01,163116,8400
2010-02,178872,10295
2010-03,200624,13228
2010-04,223457,13413
2010-05,252591,16687
2010-06,286611,18160
2010-07,321179,16808
2010-08,358451,17390
2010-09,399831,19022
2010-10,445579,21171
2010-11,500363,24984
2010-12,541390,18654
2011-01,599499,25466
2011-02,664080,28850
2011-03,744298,35529
2011-04,820294,33180
2011-05,936855,50291
2011-06,1104202,68868
2011-07,1158307,22220
2011-08,1214903,22127
2011-09,1283340,24877
2011-10,1327264,16669
2011-11,1375663,18080
2011-12,1415682,14597
2012-01,1450201,13018
2012-02,1503231,19567
2012-03,1565762,23633
2012-04,1637135,26554
2012-05,1759413,43479
2012-06,1938688,59214
2012-07,2017479,25778
2012-08,2155463,27994
2012-09,2251169,28422
2012-10,2324448,22610
2012-11,2398704,22508
2012-12,2505281,30564
2013-01,2556959,15005
2013-02,2612850,15489
2013-03,2673504,16143
2013-04,2736515,16741
2013-05,2815692,20144
2013-06,2907176,22224
2013-07,2971832,16766
2013-08,3032215,14963
2013-09,3094728,14891
2013-10,3167832,17317
2013-11,3252479,16968
2013-12,3316669,13756
2014-01,3377912,13770
2014-02,3436157,14118
2014-03,3498513,14265
2014-04,3559988,13501
2014-05,3653448,16192
2014-06,3718187,14418
2014-07,3791257,16264
2014-08,3858100,14780
2014-09,3930923,16579
2014-10,4006427,16813
2014-11,4073222,14159
2014-12,4138858,13533
2015-01,4192229,11467
2015-02,4253733,12877
2015-03,4419191,13169
2015-04,4472726,11074
2015-05,4532293,11630
2015-06,4592404,11787
2015-07,4711761,13111
2015-08,4774661,11625
2015-09,4836845,11780
2015-10,4898826,11485
2015-11,4962198,11243
2015-12,5021967,10306
2016-01,5064429,8216
2016-02,5178003,10968
2016-03,5235058,10653
2016-04,5303253,10292
2016-05,5362796,10694
2016-06,5426487,10073
2016-07,5484631,10138
2016-08,5550726,11471
2016-09,5619529,11317
2016-10,5685606,11063
2016-11,5764232,13446
2016-12,5888138,14447
2017-01,5944529,10136
2017-02,6017523,12998
2017-03,6127998,14247
2017-04,6198335,11661
2017-05,6296173,14690
2017-06,6392895,14072
2017-07,6502833,14622
2017-08,6604774,15860
2017-09,6703880,14691
2017-10,6813772,15891
2017-11,6966808,18380
2017-12,7252467,17825
2018-01,7401614,14335
2018-02,7522944,16652
2018-03,8006180,17737
2018-04,8142642,15907
2018-05,8516630,18262
2018-06,8655903,16451
2018-07,9178485,17957
2018-08,9539206,19401
2018-09,10367270,19086
2018-10,10668861,22150
2018-11,11069789,24924
2018-12,11351923,22342
2019-01,11625545,18606
2019-02,12067310,22956
2019-03,12251619,23383
2019-04,12599143,20842
2019-05,13041018,23050
2019-06,13295796,19138
2019-07,13499253,22719
2019-08,13936480,23323
2019-09,14133829,24790
2019-10,14621249,27793
2019-11,15207179,30116
2019-12,16127173,29446
2020-01,16326491,23510
2020-02,16558138,28247
2020-03,16932503,31348
2020-04,17271748,26606
2020-05,17499660,27973
2020-06,18004596,30209
2020-07,18322339,33679
2020-08,18558656,28362
2020-09,19087984,31260
2020-10,19397206,32795
2020-11,20022299,38392
2020-12,20651772,36533
2021-01,20884631,26792
2021-02,21304494,33622
2021-03,21596780,35967
2021-04,21852617,30787
2021-05,22159942,26977
2021-06,22295070,16438
